Restaurant Name,Rating,Reviews,Cuisine,Location,Restaurant URL,Image URL,City
Late Checkout,4.1,663,"Japanese, European, Alcoholic Beverages","242, Mathuradas Mill Estate Compound, S.B Marg, Near Viva Center, Lower Parel, Mumbai",https://www.zomato.com/mumbai/late-checkout-lower-parel/info,https://b.zmtcdn.com/data/pictures/4/21637764/f4544dc35a8194dbc33c7cd0e2ded3f9_featured_v2.jpg,mumbai
Joshi House,4.2,382,"North Indian, Biryani, Beverages","52/561, VB Worlikar Marg, Desai Oceanic, MIG Colony, Koliwada, Worli, Mumbai",https://www.zomato.com/mumbai/joshi-house-1-worli/info,https://b.zmtcdn.com/data/pictures/6/21956336/0857de4d4c603728341987aaf7678e86_o2_featured_v2.jpg,mumbai
Faham,3.7,385,"North Indian, Asian","3rd Floor, La Vie Building, Hill Road, Bandra West, Mumbai",https://www.zomato.com/mumbai/faham-hill-road-bandra-west/info,https://b.zmtcdn.com/data/pictures/5/22048695/037780ae6b0b0394c5b6bb3b336864b3_featured_v2.jpg,mumbai
The Penang Table - Malaysian Dining and Bar,4.3,522,"Malaysian, Asian","Shop No.1 To 04, 1st Floor, The Navachandra Niwas, Opposite Shoppers Shop, V.P. Road, Linking Road, Bandra West, Mumbai",https://www.zomato.com/mumbai/the-penang-table-malaysian-dining-and-bar-1-linking-road-bandra-west/info,https://b.zmtcdn.com/data/pictures/4/22304884/a15222fd1baa0eed85111d0a681fa47b_o2_featured_v2.jpg,mumbai
Fresh Catch,4.2,"4,608","Goan, Seafood, Konkan","Unit-201, Plot-71, Khan House, Hill Road, Bandra West, Mumbai",https://www.zomato.com/mumbai/fresh-catch-hill-road-bandra-west/info,https://b.zmtcdn.com/data/pictures/8/35688/e2b257f3ee6a3d7b61ff897f69f3f72d_o2_featured_v2.jpg,mumbai
Lyla - All day cafe and bar,4.2,"2,721","Mexican, Beverages, Desserts","Plot C/59, Ground Floor, Platina G Block, Bandra Kurla Complex, Mumbai",https://www.zomato.com/mumbai/lyla-all-day-cafe-and-bar-bandra-kurla-complex/info,https://b.zmtcdn.com/data/pictures/1/21108791/acdd13ff193d51df9a1da4695eeb79e5_featured_v2.jpg,mumbai
The Bluebop Cafe & Bar,4.4,"5,924","Italian, Burger, Mexican","318, Ground Floor, Satyam Building, Linking Road, Khar, Mumbai",https://www.zomato.com/mumbai/the-bluebop-cafe-bar-khar/info,https://b.zmtcdn.com/data/pictures/7/19246527/2b27c14825cf7f040e767fd69cf67233_featured_v2.jpg,mumbai
BAĞLAMI,4.3,"5,246","Asian, Japanese, Continental","Bağlami, Bombay @ BKC 7, Ins Tower, Opp NMACC, Bandra Kurla Complex, Mumbai, Maharashtra 400051",https://www.zomato.com/mumbai/bağlami-bandra-kurla-complex/info,https://b.zmtcdn.com/data/pictures/5/21318735/aabee9719821f5eb49192aa7e99dd911_featured_v2.jpg,mumbai
L7 Club & Lounge,4.3,"5,155","North Indian, Continental, Finger Food","First Floor, The World Building, Ashok Chakra Society, Lane 7, Meera Nagar, Near ICICI Bank, Koregaon Park, Pune",https://www.zomato.com/pune/l7-club-lounge-koregaon-park/info,https://b.zmtcdn.com/data/pictures/3/20821553/21347007fe6e83cd2230f34124c7cc52_featured_v2.jpg,pune
Prem's,4.3,17.5K,"North Indian, Chinese, Asian","28/2, Ragvilas Society, North Main Road, Koregaon Park, Pune",https://www.zomato.com/pune/prems-koregaon-park/info,https://b.zmtcdn.com/data/pictures/9/10699/4217622956ddd133d3485bc9f8dc97ec_featured_v2.jpg,pune
Kyma,4.4,"2,238","Asian, Mediterranean, Sushi","Unit 2-11, 12 & 12A, 2nd Floor, Kopa Mall, North Main Road, Mundhwa, Pune",https://www.zomato.com/pune/kyma-mundhwa/info,https://b.zmtcdn.com/data/pictures/2/20979932/adc1bed38c9dab3e0cee83e2435131e4_featured_v2.jpg,pune
Soy Como Soy,4.4,"2,630","Japanese, Asian, Peruvian","302, Power Plaza, Lane 7, Above Sbi Bank, Ashok Chakra Society, Meera Nagar, Koregaon Park, Pune",https://www.zomato.com/pune/soy-como-soy-koregaon-park/info,https://b.zmtcdn.com/data/pictures/8/20304308/e15e07e139dfb4739eb34c80b41a9916_featured_v2.jpg,pune
Good Flippin' Burgers,4.3,"4,744","Burger, American, Fast Food","Unit S-28, Plaza Floor, Tribeca Highstreet, Near The Ark, NIBM Post Office Road, Kondhwa, Pune",https://www.zomato.com/pune/good-flippin-burgers-kondhwa/info,https://b.zmtcdn.com/data/pictures/chains/0/20894390/d675f1ca85a593e648b490753fe0555b_featured_v2.jpg,pune
Dorf Brewhouse,4.2,495,"Bar Food, Italian, Continental","5th Floor, A Wing, Capital Building, Pashan Link Road, Baner, Pune",https://www.zomato.com/pune/dorf-brewhouse-baner/info,https://b.zmtcdn.com/data/pictures/4/22269654/6425af0762d0c9f250bbb337e3cd8968_o2_featured_v2.jpg,pune
2 Kitchens & Bar,4.3,"1,074","North Indian, Chinese, Fast Food","404, 405, 406 & 407, Clover Hills Plaza, Mohammadi Wadi, NIBM Road, Pune",https://www.zomato.com/pune/2-kitchens-bar-nibm-road/info,https://b.zmtcdn.com/data/pictures/9/21672609/1ba2cb073fa2219c785eca7e2a242ad7_featured_v2.jpg,pune
